HPI Rank,country,Colour Rank,Sub-Region,"Life 
Expectancy","Well-being
(0-10)","Footprint
(gha/capita)",,Happy Planet Index,,,,,
34,Switzerland,48,2c,82.3,7.5,5,=,50.3,,,,,"Two poor components poor, or ""blood red"" footprint"
35,Sri Lanka,49,5a,74.9,4.2,1.2,=,49.4,,,,,
36,Iraq,27,3b,69,5,1.4,=,49.2,,,,,
37,Laos,28,6c,67.5,5,1.3,=,49.1,,,,Geographic Key,
38,Kyrgyzstan,29,7a,67.7,5,1.3,=,49.1,,,,,
39,Tunisia,50,3a,74.5,4.7,1.8,=,48.3,,,,,
40,Moldova,33,7b,69.3,5.6,2.1,=,48,,,,Regional Codes,
41,United Kingdom,51,2c,80.2,7,4.7,=,47.9,,,,,
42,Morocco,52,3a,72.2,4.4,1.3,=,47.9,,,,1,Latin America
43,Tajikistan,53,7a,67.5,4.4,0.9,=,47.8,,,,2,Western World
44,Turkey,34,3b,74,5.5,2.6,=,47.6,,,,3,Middle East and North Africa
45,Japan,54,6b,83.4,6.1,4.2,=,47.5,,,,4,Sub Saharan Africa
46,Germany,55,2c,80.4,6.7,4.6,=,47.2,,,,5,South Asia
47,Syria,56,3b,75.9,4.1,1.5,=,47.1,,,,6,East Asia
48,Austria,57,2c,80.9,7.3,5.3,=,47.1,,,,7,Transition States
49,Madagascar,58,4a,66.7,4.6,1.2,=,46.8,,,,,
50,France,59,2c,81.5,6.8,4.9,=,46.5,,,,Sub-Regional Codes,
51,Italy,60,2e,81.9,6.4,4.5,=,46.4,,,,,
52,Sweden,61,2d,81.4,7.5,5.7,=,46.2,,,,1a,"Central America, Mexico, Carribean"
53,Armenia,62,7a,74.2,4.4,1.7,=,46,,,,1b,South America
54,Uzbekistan,35,7a,68.3,5.1,1.8,=,46,,,,2a,Australia and NZ
55,Georgia,63,7a,73.7,4.1,1.4,=,46,,,,2b,North America
56,Saudi Arabia,64,3b,73.9,6.7,4,=,46,,,,2c,Western Europe
57,Paraguay,36,1b,72.5,5.8,3,=,45.8,,,,2d, Nordic Europe
58,Nepal,65,5a,68.8,3.8,0.8,=,45.6,,,,2e,Southern Europe
59,Cyprus,66,2e,79.6,6.4,4.4,=,45.5,,,,3a,North Africa
60,China,67,6a,73.5,4.7,2.1,=,44.7,,,,3b,Middle East / South West Asia
61,Myanmar,37,5a,65.2,5.3,1.9,=,44.2,,,,4a,Southern and Central Africa
62,Spain,68,2e,81.4,6.2,4.7,=,44.1,,,,4b,East Africa
63,Korea,69,6b,80.6,6.1,4.6,=,43.8,,,,4c,West Africa
64,Bolivia,38,1b,66.6,5.8,2.6,=,43.6,,,,5a,South Asia
65,Canada,70,2b,81,7.7,6.4,=,43.6,,,,6a,China
66,Malta,71,2e,79.6,5.8,4.3,=,43.1,,,,6b,Wealthy East Asia
67,Netherlands,72,2c,80.7,7.5,6.3,=,43.1,,,,6c,South East Asia
68,Yemen,73,3b,65.5,3.9,0.9,=,43,,,,7a,Central Asia and Causcuses
69,Lebanon,39,3b,72.6,5.2,2.8,=,42.9,,,,7b,Central and Eastern Europe
70,Finland,74,2d,80,7.4,6.2,=,42.7,,,,7c,"Russia, Ukraine and Belarus"
71,Poland,75,7b,76.1,5.8,3.9,=,42.6,,,,,
72,Malawi,76,4a,54.2,5.1,0.8,=,42.5,,,,,
73,Ireland,77,2c,80.6,7.3,6.2,=,42.4,,,,Data Sources,
74,Bosnia and Herzegovina,78,7b,75.7,4.7,2.7,=,42.4,,,,,
75,Romania,40,7b,74,4.9,2.8,=,42.2,,,,Well-being,Ladder of Life question in the Gallup World Poll.  Latest data for each country as at February 2012.
76,Australia,79,2a,81.9,7.4,6.7,=,42,,,,Life Expectancy,2011 data taken from UNDP Human Development Report 2011
77,Iran,80,3b,73,4.8,2.7,=,41.7,,,,Footprint,2008 data taken from Global Footprint Network for 142 countries.  nef estimates for 9 countries (see report appendix for further details).
78,Haiti,81,1a,62.1,3.8,0.6,=,41.3,,,,"For further information about the data sources and calculation methodology, please see the Appendix of the report.",
79,Serbia,82,7b,74.5,4.5,2.6,=,41.3,,,,,
80,Azerbaijan,83,7a,70.7,4.2,2,=,40.9,,,,,
81,Libya,41,3a,74.8,4.9,3.2,=,40.8,,,,,
82,Croatia,84,7b,76.6,5.6,4.2,=,40.6,,,,,
83,Greece,85,2e,79.9,5.8,4.9,=,40.5,,,,,
84,Malaysia,86,6c,74.2,5.6,3.9,=,40.5,,,,,
85,Cambodia,87,6c,63.1,4.2,1.2,=,40.3,,,,,
86,Ghana,88,4c,64.2,4.6,1.7,=,40.3,,,,,
87,Slovenia,89,7b,79.3,6.1,5.2,=,40.2,,,,,
88,Iceland,90,2d,81.8,6.9,6.5,=,40.2,,,,,
89,Slovakia,91,7b,75.4,6.1,4.7,=,40.1,,,,,
90,Singapore,92,6b,81.1,6.5,6.1,=,39.8,,,,,
91,"Egypt, Arab Rep.",93,3a,73.2,3.9,2.1,=,39.6,,,,,
92,Czech Republic,94,7b,77.7,6.2,5.3,=,39.4,,,,,
93,Uruguay,95,1c,77,6.1,5.1,=,39.3,,,,,
94,Ethiopia,112,4b,59.3,4.4,1.1,=,39.2,,,,,
95,Turkmenistan,96,7a,65,6.6,4,=,39.1,,,,,
96,Namibia,42,4a,62.5,4.9,2,=,38.9,,,,,
97,Portugal,97,2e,79.5,4.9,4.1,=,38.7,,,,,
98,Kenya,113,4b,57.1,4.3,0.9,=,38,,,,,
99,Zambia,98,4a,49,5.3,0.8,=,37.7,,,,,
100,Ukraine,43,7c,68.5,5.1,3.2,=,37.6,,,,,
101,Sudan,99,4b,61.5,4.4,1.6,=,37.6,,,,,
102,Hong Kong,100,6b,82.8,5.6,5.8,=,37.5,,,,,
103,Belarus,101,7c,70.3,5.5,4,=,37.4,,,,,
104,Hungary,114,7b,74.4,4.7,3.6,=,37.4,,,,,
105,United States,115,2b,78.5,7.2,7.2,=,37.3,,,,,
106,Djibouti,102,4b,57.9,5,1.8,=,37.2,,,,,
107,Belgium,103,2c,80,6.9,7.1,=,37.1,,,,,
108,Rwanda,116,4b,55.4,4,0.7,=,36.9,,,,,
109,Afghanistan,117,3b,48.7,4.8,0.5,=,36.8,,,,,
110,Denmark,118,2d,78.8,7.8,8.3,=,36.6,,,,,
111,Mauritius,104,4a,73.4,5.5,4.6,=,36.6,,,,,
112,Comoros,105,4a,61.1,3.9,1.3,=,36.5,,,,,
113,Cote d'Ivoire,119,4c,55.4,4.2,1,=,35.9,,,,,
114,Mozambique,120,4a,50.2,4.7,0.8,=,35.7,,,,,
115,Zimbabwe,106,4a,51.4,4.8,1.2,=,35.3,,,,,
116,Liberia,121,4c,56.8,4.2,1.3,=,35.2,,,,,
117,Estonia,107,7b,74.8,5.1,4.7,=,34.9,,,,,
118,Latvia,122,7b,73.3,4.7,4,=,34.9,,,,,
119,Kazakhstan,108,7a,67,5.5,4.1,=,34.7,,,,,
120,Lithuania,109,7b,72.2,5.1,4.4,=,34.6,,,,,
121,Congo,123,4a,57.4,3.8,1.1,=,34.5,,,,,
122,Russian Federation,110,7c,68.8,5.5,4.4,=,34.5,,,,,
123,Bulgaria,124,7b,73.4,4.2,3.6,=,34.1,,,,,
124,Cameroon,125,4c,51.6,4.4,1.1,=,33.7,,,,,
125,Nigeria,126,4c,51.9,4.8,1.4,=,33.6,,,,,
126,Senegal,127,4c,59.3,3.8,1.5,=,33.3,,,,,
127,Angola,128,4a,51.1,4.2,0.9,=,33.2,,,,,
128,Mauritania,111,4c,58.6,5,2.9,=,32.3,,,,,
129,Burkina Faso,129,4c,55.4,4,1.5,=,31.8,,,,,
130,United Arab Emirates,130,3b,76.5,7.2,8.9,=,31.8,,,,,
131,Uganda,131,4b,54.1,4.2,1.6,=,31.5,,,,,
132,Benin,132,4c,56.1,3.7,1.4,=,31.1,,,,,
133,Tanzania,133,4b,58.2,3.2,1.2,=,30.7,,,,,
134,"Congo, Dem. Rep. of the",134,4a,48.4,4,0.8,=,30.5,,,,,
135,Burundi,135,4b,50.4,3.8,0.8,=,30.5,,,,,
136,Trinidad and Tobago,136,1a,70.1,6.7,7.6,=,30.3,,,,,
137,Guinea,137,4c,54.1,4,1.7,=,30,,,,,
138,Luxembourg,138,2c,80,7.1,10.7,=,29,,,,,
139,Sierra Leone,139,4c,47.8,4.1,1.1,=,28.8,,,,,
140,Macedonia,140,7b,74.8,4.2,5.4,=,28.3,,,,,
141,Togo,141,4c,57.1,2.8,1,=,28.2,,,,,
142,South Africa,142,4a,52.8,4.7,2.6,=,28.2,,,,,
143,Kuwait,143,3b,74.6,6.6,9.7,=,27.1,,,,,
144,Niger,144,4c,54.7,4.1,2.6,=,26.8,,,,,
145,Mongolia,145,7a,68.5,4.6,5.5,=,26.8,,,,,
146,Bahrain,146,3b,75.1,4.5,6.6,=,26.6,,,,,
147,Mali,147,4c,51.4,3.8,1.9,=,26,,,,,
148,Central African Republic,148,4a,48.4,3.6,1.4,=,25.3,,,,,
149,Qatar,149,3b,78.4,6.6,11.7,=,25.2,,,,,
150,Chad,150,4b,49.6,3.7,1.9,=,24.7,,,,,
151,Botswana,151,4a,53.2,3.6,2.8,=,22.6,,,,,
